,ori_apr,apr,dataset,bug,repair_time,fl_time,pg_time,compile_time,pv_time,ncp,ntce,has_patch,insufficient_memory,filter_pass_all,filter_pass_file,insufficient_memory_2,vm_error,repeated_timeout_executions
248,dynamoth_2,dynamoth_2,bears,traccar-traccar_248584369-248666173,25.780000000000005,12.879,25.780000000000005,0,0,0,0,0,NO,NO,,NO,-,NO
249,nopol_2,nopol_2,bears,traccar-traccar_255051210-255052458,21.008,12.543,21.008,0,0,0,0,0,NO,NO,,NO,-,NO
250,dynamoth_1,dynamoth_1,bears,traccar-traccar_255051210-255052458,7.232,12.543,3.942,0.234,3.29,1,145,yes,NO,NO,,NO,-,NO
251,dynamoth_2,dynamoth_2,bears,traccar-traccar_255051210-255052458,20.409,12.543,10.662999999999998,0.362,9.746,1,265,yes,NO,NO,,NO,-,NO
252,dynamoth_3,dynamoth_3,bears,traccar-traccar_255051210-255052458,7.826,12.543,5.898999999999999,0.246,1.927,1,265,yes,NO,NO,,NO,-,NO
253,nopol_2,nopol_2,bears,traccar-traccar_262940348-263330667,198.69300000000004,14.195,198.69300000000004,0,0,0,0,0,NO,NO,,NO,-,NO
254,dynamoth_2,dynamoth_2,bears,traccar-traccar_262940348-263330667,170.05199999999994,14.195,170.05199999999994,0,0,0,0,0,NO,NO,,NO,-,NO
255,nopol_2,nopol_2,bears,traccar-traccar_265439859-265542197,125.548,13.04,125.548,0,0,0,0,0,NO,NO,,NO,-,NO
256,dynamoth_2,dynamoth_2,bears,traccar-traccar_265439859-265542197,115.15799999999994,13.04,115.15799999999994,0,0,0,0,0,NO,NO,,NO,-,NO
257,nopol_2,nopol_2,bears,traccar-traccar_267146704-267366528,25.701999999999998,11.206,25.701999999999998,0,0,0,0,0,NO,NO,,NO,-,NO
258,dynamoth_2,dynamoth_2,bears,traccar-traccar_267146704-267366528,26.407,11.206,26.407,0,0,0,0,0,NO,NO,,NO,-,NO
259,nopol_2,nopol_2,bears,traccar-traccar_267371558-268530427,287.56899999999973,10.084,287.56899999999973,0,0,0,0,0,NO,NO,,NO,-,NO
260,dynamoth_1,dynamoth_1,bears,traccar-traccar_267371558-268530427,63.38000000000001,10.084,61.46500000000001,0.435,1.915,1,1,yes,NO,NO,,NO,-,NO
261,dynamoth_2,dynamoth_2,bears,traccar-traccar_267371558-268530427,89.775,10.084,81.049,0.504,8.725999999999999,1,275,yes,NO,NO,,NO,-,NO
262,dynamoth_3,dynamoth_3,bears,traccar-traccar_267371558-268530427,47.458,10.084,44.900999999999996,0.319,2.557,1,275,yes,NO,NO,,NO,-,NO
263,nopol_2,nopol_2,bears,traccar-traccar_269449386-269490884,2998.806,11.698,2998.806,0,0,0,0,0,NO,NO,,NO,-,NO
264,dynamoth_1,dynamoth_1,bears,traccar-traccar_269449386-269490884,19.554000000000002,11.698,18.500000000000004,0.214,1.054,1,1,yes,NO,NO,,NO,-,NO
265,dynamoth_2,dynamoth_2,bears,traccar-traccar_269449386-269490884,65.698,11.698,56.36399999999999,0.759,9.334,1,275,yes,NO,NO,,NO,-,NO
266,dynamoth_3,dynamoth_3,bears,traccar-traccar_269449386-269490884,20.306,11.698,18.541,0.159,1.7650000000000001,1,275,yes,NO,NO,,NO,-,NO
267,nopol_2,nopol_2,bears,traccar-traccar_273118899-273136493,185.9970000000001,12.257,185.9970000000001,0,0,0,0,0,NO,NO,,NO,-,NO
268,dynamoth_1,dynamoth_1,bears,traccar-traccar_273118899-273136493,14.718,12.257,13.499,0.205,1.219,1,1,yes,NO,NO,,NO,-,NO
269,dynamoth_2,dynamoth_2,bears,traccar-traccar_273118899-273136493,20.971,12.257,15.658000000000001,0.348,5.313,1,276,yes,NO,NO,,NO,-,NO
270,dynamoth_3,dynamoth_3,bears,traccar-traccar_273118899-273136493,16.375999999999998,12.257,13.721999999999998,0.2,2.6540000000000004,1,276,yes,NO,NO,,NO,-,NO
271,nopol_2,nopol_2,bears,traccar-traccar_273236004-273269445,11.169000000000002,7.178,11.169000000000002,0,0,0,0,0,NO,NO,,NO,-,NO
272,dynamoth_2,dynamoth_2,bears,traccar-traccar_273236004-273269445,10.030000000000003,7.178,10.030000000000003,0,0,0,0,0,NO,NO,,NO,-,NO
273,nopol_2,nopol_2,bears,traccar-traccar_274558862-274871026,44.54800000000001,5.409,44.54800000000001,0,0,0,0,0,NO,NO,,NO,-,NO
274,simfix_2,simfix_1,bears,traccar-traccar_274558862-274871026,4688.742999999998,5.875,0,4362.262999999996,178.5429999999999,6022,21753,0,NO,NO,,NO,NO,NO
