,apr_folder,repair_time
177,simfix_2,0 days 02:58:55
178,tbar_2,0 days 01:43:38
179,simfix_2,0 days 03:49:18
180,tbar_2,0 days 04:27:02
181,simfix_2,0 days 05:15:15
182,tbar_2,0 days 05:37:14
183,simfix_2,0 days 04:02:43
184,tbar_2,0 days 04:24:59
185,simfix_2,0 days 03:53:19
186,tbar_2,0 days 04:06:53
187,simfix_2,0 days 00:00:10
188,tbar_2,0 days 00:00:11
189,simfix_2,0 days 05:20:15
190,tbar_2,0 days 03:29:32
191,simfix_2,0 days 04:07:11
192,tbar_2,0 days 03:28:59
193,simfix_2,0 days 03:45:27
194,tbar_2,0 days 05:52:26
195,simfix_2,0 days 04:06:12
196,tbar_2,0 days 00:01:01
197,simfix_2,0 days 04:39:45
198,tbar_2,0 days 05:54:07
199,simfix_2,0 days 00:34:38
200,tbar_2,0 days 03:35:21
201,simfix_2,0 days 05:57:26
202,tbar_2,0 days 02:07:45
203,simfix_2,0 days 06:11:50
204,tbar_2,0 days 00:21:36
205,simfix_2,0 days 06:19:38
206,tbar_2,0 days 02:39:21
207,simfix_2,0 days 04:27:41
208,tbar_2,0 days 03:59:40
209,simfix_2,0 days 00:00:15
210,tbar_2,0 days 00:00:13
211,simfix_2,0 days 06:20:01
212,tbar_2,0 days 05:58:05
213,simfix_2,0 days 00:11:16
214,tbar_2,0 days 02:20:49
215,simfix_2,0 days 06:13:34
216,tbar_2,0 days 05:58:51
217,simfix_2,0 days 03:24:47
218,tbar_2,0 days 04:44:37
219,simfix_2,0 days 02:25:14
220,tbar_2,0 days 04:02:42
221,simfix_2,0 days 04:09:48
222,tbar_2,0 days 04:20:41
223,simfix_2,0 days 05:35:54
224,tbar_2,0 days 05:05:33
225,simfix_2,0 days 03:06:11
226,tbar_2,0 days 01:11:04
227,simfix_2,0 days 04:31:09
228,tbar_2,0 days 05:27:31
229,simfix_2,0 days 00:00:13
230,tbar_2,0 days 00:00:13
231,simfix_2,0 days 06:14:11
232,tbar_2,0 days 00:50:24
233,simfix_2,0 days 05:55:58
234,tbar_2,0 days 06:01:00
235,simfix_2,0 days 04:12:36
236,tbar_2,0 days 04:34:04
237,simfix_2,0 days 04:43:42
238,tbar_2,0 days 05:57:22
239,simfix_2,0 days 02:22:39
240,tbar_2,0 days 04:58:03
241,simfix_2,0 days 00:00:11
242,tbar_2,0 days 00:00:10
243,simfix_2,0 days 03:08:54
244,tbar_2,0 days 03:44:47
245,simfix_2,0 days 04:34:54
246,tbar_2,0 days 05:28:33
