,ori_apr,apr,dataset,bug,repair_time,fl_time,pg_time,compile_time,pv_time,ncp,ntce,has_patch,insufficient_memory,filter_pass_all,filter_pass_file,insufficient_memory_2,vm_error,repeated_timeout_executions
0,simfix_2,simfix_1,bears,FasterXML-jackson-databind_176912167-190405643,7236.9259999999995,31.86,0,5224.823999999999,1522.3980000000004,4944,273798,0,NO,NO,,NO,NO,NO
1,simfix_2,simfix_2,bears,FasterXML-jackson-databind_176912167-190405643,7163.503000000002,31.86,0,5930.384000000004,743.4149999999986,5557,1482,0,NO,NO,,NO,NO,NO
2,simfix_2,simfix_3,bears,FasterXML-jackson-databind_176912167-190405643,9117.682999999997,31.86,0,625.1989999999994,8002.779999999999,664,391230,0,NO,NO,,NO,NO,NO
3,tbar_2,tbar_1,bears,FasterXML-jackson-databind_176912167-190405643,7217.039999999995,31.963,0,4645.285999999997,2513.7769999999987,3825,357526,0,NO,NO,,NO,NO,NO
4,tbar_2,tbar_2,bears,FasterXML-jackson-databind_176912167-190405643,7199.5549999999985,31.963,0,5995.556999999998,1146.021000000001,4894,2257,0,NO,NO,,NO,NO,NO
5,tbar_2,tbar_3,bears,FasterXML-jackson-databind_176912167-190405643,7256.317000000002,31.963,0,305.79799999999994,6892.542000000003,303,367080,0,NO,NO,,NO,NO,NO
6,simfix_2,simfix_1,bears,FasterXML-jackson-databind_190405643-195044059,7159.936999999998,26.439999999999998,0,6645.418000000001,1.645,4025,159,0,NO,NO,,NO,NO,NO
7,simfix_2,simfix_2,bears,FasterXML-jackson-databind_190405643-195044059,7302.551999999998,26.439999999999998,0,5944.298,845.3800000000006,3786,1099,0,NO,NO,,NO,NO,NO
8,simfix_2,simfix_3,bears,FasterXML-jackson-databind_190405643-195044059,7642.185000000003,26.439999999999998,0,782.5790000000003,6346.7320000000045,841,475245,0,NO,NO,,NO,NO,NO
9,tbar_2,tbar_1,bears,FasterXML-jackson-databind_190405643-195044059,7194.398999999997,29.471999999999998,0,6647.473999999997,466.177,3826,5381,0,NO,NO,,NO,NO,NO
10,tbar_2,tbar_2,bears,FasterXML-jackson-databind_190405643-195044059,7208.9000000000015,29.471999999999998,0,5682.501,1445.6510000000014,2813,1329,0,NO,NO,,NO,NO,NO
11,tbar_2,tbar_3,bears,FasterXML-jackson-databind_190405643-195044059,7362.121,29.471999999999998,0,208.95700000000002,7072.416,54,83772,0,NO,NO,,NO,NO,NO
12,simfix_2,simfix_1,bears,FasterXML-jackson-databind_190406891-190505536,7320.90799999999,25.576,0,3663.1889999999917,3137.544999999999,4061,761298,0,NO,NO,,NO,NO,NO
13,simfix_2,simfix_2,bears,FasterXML-jackson-databind_190406891-190505536,7158.17,25.576,0,5699.9850000000015,938.010999999999,6011,13754,0,NO,NO,,NO,NO,NO
14,simfix_2,simfix_3,bears,FasterXML-jackson-databind_190406891-190505536,7646.086000000001,25.576,0,777.4599999999998,6348.452000000001,924,537734,0,NO,NO,,NO,NO,NO
15,tbar_2,tbar_1,bears,FasterXML-jackson-databind_190406891-190505536,7229.992000000006,25.652,0,5023.502000000007,2150.827999999999,4656,622215,0,NO,NO,,NO,NO,NO
16,tbar_2,tbar_2,bears,FasterXML-jackson-databind_190406891-190505536,7199.232000000005,25.652,0,5840.726000000004,1302.8440000000012,5562,11062,0,NO,NO,,NO,NO,NO
17,tbar_2,tbar_3,bears,FasterXML-jackson-databind_190406891-190505536,7271.323999999999,25.652,0,391.5139999999998,6824.147999999998,437,424346,0,NO,NO,,NO,NO,NO
18,simfix_2,simfix_1,bears,FasterXML-jackson-databind_195066764-195069327,7269.667000000004,23.525,0,4316.242000000001,2523.559000000001,5180,193267,0,NO,NO,,NO,NO,NO
19,simfix_2,simfix_2,bears,FasterXML-jackson-databind_195066764-195069327,7184.0260000000135,23.525,0,5155.33200000001,1598.8280000000013,6029,78782,0,NO,NO,,NO,NO,NO
20,simfix_2,simfix_3,bears,FasterXML-jackson-databind_195066764-195069327,7558.054999999996,23.525,0,899.5979999999996,6228.590999999994,1021,523900,0,NO,NO,,NO,NO,NO
21,tbar_2,tbar_1,bears,FasterXML-jackson-databind_195066764-195069327,7200.6199999999935,23.147,0,4544.657999999996,2612.418999999998,4250,273101,0,NO,NO,,NO,NO,NO
22,tbar_2,tbar_2,bears,FasterXML-jackson-databind_195066764-195069327,3635.2949999999996,23.147,0,2751.2099999999996,852.6980000000002,2447,22104,yes,NO,NO,,NO,NO,NO
23,tbar_2,tbar_3,bears,FasterXML-jackson-databind_195066764-195069327,6094.667999999995,23.147,0,292.5290000000002,5795.994999999995,324,370760,yes,NO,NO,,NO,NO,NO
24,simfix_2,simfix_1,bears,FasterXML-jackson-databind_195430379-198387397,7253.677999999993,30.34,0,4492.044999999999,2331.813999999997,4737,490099,0,NO,NO,,NO,NO,NO
25,simfix_2,simfix_2,bears,FasterXML-jackson-databind_195430379-198387397,7164.593999999992,30.34,0,5267.8839999999955,1466.8910000000005,5527,48647,0,NO,NO,,NO,NO,NO
26,simfix_2,simfix_3,bears,FasterXML-jackson-databind_195430379-198387397,7564.5289999999995,30.34,0,776.7800000000005,6357.930000000003,852,408595,0,NO,NO,,NO,NO,NO
27,tbar_2,tbar_1,bears,FasterXML-jackson-databind_195430379-198387397,7203.276999999998,29.886000000000003,0,3922.962000000001,3240.210999999998,3788,513943,0,NO,NO,,NO,NO,NO
28,tbar_2,tbar_2,bears,FasterXML-jackson-databind_195430379-198387397,1785.6319999999992,29.886000000000003,0,1431.4809999999995,335.004,1490,2341,yes,NO,NO,,NO,NO,NO
29,tbar_2,tbar_3,bears,FasterXML-jackson-databind_195430379-198387397,7234.0629999999965,29.886000000000003,0,413.39699999999993,6780.561999999996,479,489345,0,NO,NO,,NO,NO,NO
30,simfix_2,simfix_1,bears,FasterXML-jackson-databind_195646489-195752461,7789.292999999996,27.144000000000002,0,1307.7039999999986,5972.029,1469,59468,0,YES,NO,,NO,NO,NO
31,simfix_2,simfix_2,bears,FasterXML-jackson-databind_195646489-195752461,7173.656999999986,27.144000000000002,0,5617.958999999987,1046.1380000000013,5661,18819,0,YES,NO,,NO,NO,NO
32,simfix_2,simfix_3,bears,FasterXML-jackson-databind_195646489-195752461,908.8360000000004,27.144000000000002,0,110.74600000000007,786.2740000000002,147,70725,yes,YES,NO,,NO,NO,NO
33,tbar_2,tbar_1,bears,FasterXML-jackson-databind_195646489-195752461,7207.020999999992,27.176000000000002,0,4472.187999999995,2681.1819999999975,4580,289308,0,NO,NO,,NO,NO,NO
34,tbar_2,tbar_2,bears,FasterXML-jackson-databind_195646489-195752461,7199.012999999999,27.176000000000002,0,5583.289000000001,1562.072999999999,5756,30999,0,NO,NO,,NO,NO,NO
35,tbar_2,tbar_3,bears,FasterXML-jackson-databind_195646489-195752461,7249.392999999998,27.176000000000002,0,347.0219999999999,6848.719999999999,417,434700,0,NO,NO,,NO,NO,NO
36,simfix_2,simfix_1,bears,FasterXML-jackson-databind_195752461-195777970,8091.461000000005,29.358,0,3173.252000000008,4451.344999999999,3084,66860,0,NO,NO,,NO,NO,NO
37,simfix_2,simfix_2,bears,FasterXML-jackson-databind_195752461-195777970,7161.962999999997,29.358,0,5814.029000000001,881.069999999999,5708,3494,0,NO,NO,,NO,NO,NO
38,simfix_2,simfix_3,bears,FasterXML-jackson-databind_195752461-195777970,7587.979,29.358,0,779.5670000000001,6341.548000000003,864,490468,0,NO,NO,,NO,NO,NO
39,tbar_2,tbar_1,bears,FasterXML-jackson-databind_195752461-195777970,7197.665999999992,29.46,0,6705.875999999992,425.762,6698,64327,0,NO,NO,,YES,NO,NO
40,tbar_2,tbar_2,bears,FasterXML-jackson-databind_195752461-195777970,7209.51399999999,29.46,0,5974.104999999992,1169.380999999998,6018,5138,0,NO,NO,,YES,NO,NO
41,tbar_2,tbar_3,bears,FasterXML-jackson-databind_195752461-195777970,7267.227000000003,29.46,0,400.60099999999994,6800.598000000003,440,431750,0,NO,NO,,YES,NO,NO
42,simfix_2,simfix_1,bears,FasterXML-jackson-databind_203042777-203306015,7144.021000000008,35.522999999999996,0,6545.952000000007,38.72499999999999,7367,444,0,NO,NO,,NO,NO,NO
43,simfix_2,simfix_2,bears,FasterXML-jackson-databind_203042777-203306015,7296.396999999997,35.522999999999996,0,5770.354999999997,966.6979999999998,6547,2219,0,NO,NO,,NO,NO,NO
44,simfix_2,simfix_3,bears,FasterXML-jackson-databind_203042777-203306015,7691.843000000003,35.522999999999996,0,675.8520000000004,6456.647000000001,725,437184,0,NO,NO,,NO,NO,NO
45,tbar_2,tbar_1,bears,FasterXML-jackson-databind_203042777-203306015,7201.651999999989,35.617,0,6996.537999999989,139.418,6230,51481,0,YES,NO,,NO,NO,NO
46,tbar_2,tbar_2,bears,FasterXML-jackson-databind_203042777-203306015,7209.186999999997,35.617,0,6034.4039999999995,1109.0869999999973,5279,2343,0,YES,NO,,NO,NO,NO
47,tbar_2,tbar_3,bears,FasterXML-jackson-databind_203042777-203306015,4445.3189999999995,35.617,0,293.2709999999999,4145.344999999999,341,309312,yes,YES,NO,,NO,NO,NO
48,simfix_2,simfix_1,bears,FasterXML-jackson-databind_203649003-204682356,7248.616999999997,38.101,0,4698.870999999997,2086.2449999999994,5064,398086,0,NO,NO,,NO,NO,NO
49,simfix_2,simfix_2,bears,FasterXML-jackson-databind_203649003-204682356,7167.595999999989,38.101,0,5500.19699999999,1203.8979999999985,5803,14205,0,NO,NO,,NO,NO,NO
50,simfix_2,simfix_3,bears,FasterXML-jackson-databind_203649003-204682356,2006.6649999999997,38.101,0,178.75700000000006,1816.744,214,141860,yes,NO,NO,,NO,NO,NO
51,tbar_2,tbar_1,bears,FasterXML-jackson-databind_203649003-204682356,1648.4090000000003,37.695,0,322.4580000000001,1320.089,326,18689,yes,YES,NO,,YES,NO,NO
52,tbar_2,tbar_2,bears,FasterXML-jackson-databind_203649003-204682356,7200.291999999981,37.695,0,5620.421999999986,1529.2259999999953,3760,6861,0,YES,NO,,YES,NO,NO
53,tbar_2,tbar_3,bears,FasterXML-jackson-databind_203649003-204682356,5175.9270000000015,37.695,0,278.57000000000005,4892.513000000002,275,266420,yes,YES,NO,,YES,NO,NO
54,simfix_2,simfix_1,bears,FasterXML-jackson-databind_221825856-221903238,7279.117000000006,28.145999999999997,0,5149.698000000008,1745.2859999999994,3700,210810,0,YES,NO,,NO,NO,NO
55,simfix_2,simfix_2,bears,FasterXML-jackson-databind_221825856-221903238,7174.844000000007,28.145999999999997,0,5877.604000000008,913.1070000000005,4297,1373,0,YES,NO,,NO,NO,NO
56,simfix_2,simfix_3,bears,FasterXML-jackson-databind_221825856-221903238,7531.577999999998,28.145999999999997,0,662.5299999999999,6484.915,636,365442,0,YES,NO,,NO,NO,NO
57,tbar_2,tbar_1,bears,FasterXML-jackson-databind_221825856-221903238,7215.482999999991,28.124,0,4116.968999999993,3044.9669999999987,3645,358281,0,NO,NO,,NO,NO,NO
58,tbar_2,tbar_2,bears,FasterXML-jackson-databind_221825856-221903238,7201.729000000008,28.124,0,5883.348000000007,1264.834000000001,4814,2203,0,NO,NO,,NO,NO,NO
59,tbar_2,tbar_3,bears,FasterXML-jackson-databind_221825856-221903238,7364.896000000004,28.124,0,349.744,6961.605000000004,354,407484,0,NO,NO,,NO,NO,NO
60,simfix_2,simfix_1,bears,FasterXML-jackson-databind_223024976-223291136,7172.065999999995,61.199,0,6730.5139999999965,0.0,5612,0,0,NO,NO,,NO,NO,NO
61,simfix_2,simfix_2,bears,FasterXML-jackson-databind_223024976-223291136,7293.317999999996,61.199,0,5994.307999999996,857.4580000000002,4989,1517,0,NO,NO,,NO,NO,NO
62,simfix_2,simfix_3,bears,FasterXML-jackson-databind_223024976-223291136,7582.560999999999,61.199,0,672.7240000000008,6468.284999999999,652,386702,0,NO,NO,,NO,NO,NO
63,tbar_2,tbar_1,bears,FasterXML-jackson-databind_223024976-223291136,7201.9,61.205,0,7094.418,50.703,4764,38572,0,NO,NO,,YES,NO,NO
64,tbar_2,tbar_2,bears,FasterXML-jackson-databind_223024976-223291136,7205.698999999995,61.205,0,5947.501999999996,1201.4179999999992,4126,1865,0,NO,NO,,YES,NO,NO
65,tbar_2,tbar_3,bears,FasterXML-jackson-databind_223024976-223291136,7254.313000000001,61.205,0,367.08599999999973,6830.448000000002,432,475692,0,NO,NO,,YES,NO,NO
66,simfix_2,simfix_1,bears,FasterXML-jackson-databind_226276279-226639126,7293.392999999985,75.967,0,4499.134999999986,2300.114,4490,352869,0,NO,NO,,NO,NO,NO
67,simfix_2,simfix_2,bears,FasterXML-jackson-databind_226276279-226639126,7115.663999999986,75.967,0,5692.594999999988,928.9249999999994,5801,2063,0,NO,NO,,NO,NO,NO
68,simfix_2,simfix_3,bears,FasterXML-jackson-databind_226276279-226639126,8413.261999999997,75.967,0,788.0119999999997,7131.105999999999,762,466440,0,NO,NO,,NO,NO,NO
69,tbar_2,tbar_1,bears,FasterXML-jackson-databind_226276279-226639126,7238.312000000002,75.347,0,4770.332000000002,2414.5329999999994,4166,138634,0,NO,NO,,YES,NO,NO
70,tbar_2,tbar_2,bears,FasterXML-jackson-databind_226276279-226639126,7200.711999999998,75.347,0,6063.528999999998,1083.7359999999996,5271,2117,0,NO,NO,,YES,NO,NO
71,tbar_2,tbar_3,bears,FasterXML-jackson-databind_226276279-226639126,7247.131999999994,75.347,0,559.8919999999994,6633.792999999995,577,541476,0,NO,NO,,YES,NO,NO
72,simfix_2,simfix_1,bears,FasterXML-jackson-databind_226654766-226666085,7097.379000000001,37.205,0,6360.89,185.011,6479,30168,0,YES,NO,,NO,NO,NO
73,simfix_2,simfix_2,bears,FasterXML-jackson-databind_226654766-226666085,7252.916999999998,37.205,0,5839.7249999999985,861.7139999999986,5932,4052,0,YES,NO,,NO,NO,NO
74,simfix_2,simfix_3,bears,FasterXML-jackson-databind_226654766-226666085,4115.106000000002,37.205,0,552.6120000000004,3525.0170000000003,431,230166,yes,YES,NO,,NO,NO,NO
75,tbar_2,tbar_1,bears,FasterXML-jackson-databind_226654766-226666085,7214.305000000001,37.363,0,6254.045000000001,904.9710000000001,5887,37066,0,NO,NO,,NO,NO,NO
76,tbar_2,tbar_2,bears,FasterXML-jackson-databind_226654766-226666085,7203.063999999997,37.363,0,6075.819999999997,1071.955,5758,2465,0,NO,NO,,NO,NO,NO
77,tbar_2,tbar_3,bears,FasterXML-jackson-databind_226654766-226666085,8056.258,37.363,0,426.92400000000026,7574.045,386,302850,0,NO,NO,,NO,NO,NO
78,simfix_2,simfix_1,bears,FasterXML-jackson-databind_226666085-226673064,7252.916,28.636,0,4589.019999999996,2207.5020000000004,4182,190347,0,NO,NO,,NO,NO,NO
79,simfix_2,simfix_2,bears,FasterXML-jackson-databind_226666085-226673064,7118.159999999998,28.636,0,5734.163999999994,927.6019999999995,4801,1750,0,NO,NO,,NO,NO,NO
80,simfix_2,simfix_3,bears,FasterXML-jackson-databind_226666085-226673064,3686.5930000000044,28.636,0,534.2560000000002,3114.5930000000003,480,232300,yes,NO,NO,,NO,NO,NO
81,tbar_2,tbar_1,bears,FasterXML-jackson-databind_226666085-226673064,7207.673000000001,28.993000000000002,0,5622.115000000001,1532.414,5304,233761,0,NO,NO,,NO,NO,NO
82,tbar_2,tbar_2,bears,FasterXML-jackson-databind_226666085-226673064,7199.675000000008,28.993000000000002,0,6030.404000000008,1116.127000000001,5669,6300,0,NO,NO,,NO,NO,NO
83,tbar_2,tbar_3,bears,FasterXML-jackson-databind_226666085-226673064,10521.226,28.993000000000002,0,521.8120000000004,9946.27,416,347440,0,NO,NO,,NO,NO,NO
84,simfix_2,simfix_1,bears,FasterXML-jackson-databind_228025083-228873360,7104.033999999998,26.465,0,3078.3389999999986,3732.0359999999987,3241,832011,0,NO,NO,,NO,NO,NO
85,simfix_2,simfix_2,bears,FasterXML-jackson-databind_228025083-228873360,3869.279999999999,26.465,0,3078.3389999999986,497.28199999999947,3241,4432,0,NO,NO,,NO,NO,NO
86,simfix_2,simfix_3,bears,FasterXML-jackson-databind_228025083-228873360,7410.921000000004,26.465,0,684.6979999999996,6432.564000000004,789,515672,0,NO,NO,,NO,NO,NO
87,tbar_2,tbar_2,bears,FasterXML-jackson-databind_228025083-228873360,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,simfix_2,simfix_1,bears,FasterXML-jackson-databind_233857275-234147085,8461.287000000006,16.213,0,1891.5630000000053,6038.186,3649,3625,0,NO,NO,,NO,NO,NO
